Title,Link,Classifications,IMDb Rating,Budget,Gross US & Canada,Opening Weekend US & Canada,Opening Weekend Date,Gross Worldwide,Runtime,Color,Sound mix,Aspect ratio,
Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11,PG-13,8.8,55000000,330455270,24450602,7/10/1994,678226465,2 hours 22 minutes,Color,Dolby SR,2.39 : 1,
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12,PG-13,8.8,94000000,345372040,62007528,12/22/2002,951403754,2 hours 59 minutes,Color,DTS-ES,2.39 : 1,
Fight Club,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13,R,8.8,63000000,37030102,11035485,10/17/1999,101320107,2 hours 19 minutes,Color,Dolby Digital,2.39 : 1,
Inception,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14,PG-13,8.8,160000000,292587330,62785337,7/18/2010,839030630,2 hours 28 minutes,Color,Dolby Digital,2.39 : 1,
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15,PG,8.7,18000000,292753960,4910483,5/25/1980,538375067,2 hours 4 minutes,Color,,2.39 : 1,
The Matrix,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16,R,8.7,63000000,172076928,27788331,4/4/1999,467684461,2 hours 16 minutes,Color,Dolby Digital,2.39 : 1,
Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17,R,8.7,25000000,46909721,6368901,9/23/1990,47049784,2 hours 25 minutes,Color,Dolby SR,1.85 : 1,
One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18,R,8.7,3000000,108981275,,,109115366,2 hours 13 minutes,Color,Mono,1.85 : 1,
Se7en,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_19,R,8.6,33000000,100125643,13949807,9/24/1995,327333559,2 hours 7 minutes,Color,DTS,2.39 : 1,
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_20,PG-13,8.7,165000000,188020017,47510360,11/9/2014,705191242,2 hours 49 minutes,Color,Datasat,2.39 : 1,
It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21,PG,8.6,3180000,1483643,44000,12/20/2020,9767242,2 hours 10 minutes,Black and White,,1.37 : 1,
Seven Samurai,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_22,Not Rated,8.6,786750,318649,15942,07/28/2002,346258,3 hours 27 minutes,Black and White,Mono,1.37 : 1,
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_23,R,8.6,19000000,130742922,13766814,2/18/1991,272742922,1 hours 58 minutes,Color,Dolby SR,1.85 : 1,
Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24,R,8.6,70000000,217049603,20576104,07/26/1998,482351251,2 hours 49 minutes,Color,DTS,1.85 : 1,
City of God,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25,R,8.6,3300000,7564459,88292,1/19/2003,30680793,2 hours 10 minutes,Color,Dolby Digital,1.85 : 1,
Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_26,PG-13,8.6,20000000,57563264,118920,10/25/1998,230099013,1 hours 56 minutes,Color,Dolby Digital,1.85 : 1,
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_27,R,8.6,60000000,136801374,18017152,12/12/1999,286801374,3 hours 9 minutes,Color,DTS,1.85 : 1,
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28,R,8.6,102000000,205881154,31765506,7/7/1991,520881154,2 hours 17 minutes,,,2.39 : 1,
Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29,PG,8.6,11000000,460998507,1554475,5/30/1977,775398507,2 hours 1 minute,,Dolby Atmos,2.35 : 1,
Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_30,PG,8.5,19000000,214077472,11152500,7/7/1985,384577472,1 hours 56 minutes,Color,Dolby Digital,,
Spirited Away,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_31,PG,8.6,19000000,15205725,449839,9/22/2002,357561772,2 hours 5 minutes,Color,DTS-ES,1.85 : 1,
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_32,PG-13,8.6,190000000,282144358,82505391,3/3/2024,711844358,2 hours 46 minutes,Color,Dolby Surround 7.1,,
The Pianist,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33,R,8.5,35000000,32590750,111261,12/29/2002,120098945,2 hours 30 minutes,Color,DTS,1.85 : 1,
Parasite,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34,R,8.5,11400000,53369749,393216,10/13/2019,262099264,2 hours 12 minutes,Color,Dolby Atmos,2.39 : 1,
Psycho,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35,R,8.5,806947,32000000,,,32061457,1 hours 49 minutes,Black and White,Dolby Digital,1.37 : 1,
Gladiator,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_36,R,8.5,103000000,187705427,34819017,5/7/2000,465387186,2 hours 35 minutes,Color,SDDS,2.39 : 1,
Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_37,PG,8.6,150000000,381593754,120663589,6/4/2023,690897910,2 hours 20 minutes,,Dolby Atmos,2.39 : 1,
The Lion King,https://www.imdb.com/title/tt0110357/?ref_=chttp_t_38,G,8.5,45000000,422783777,1586753,6/19/1994,968750709,1 hours 28 minutes,Color,Dolby Stereo,,
The Departed,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_39,R,8.5,90000000,132399394,26887467,10/8/2006,291481358,2 hours 31 minutes,Color,Dolby Digital,2.39 : 1,
LÃ©on: The Professional,https://www.imdb.com/title/tt0110413/?ref_=chttp_t_40,R,8.5,115000000,19501238,5306558,11/20/1994,20275438,1 hours 50 minutes,Color,Dolby Digital,2.39 : 1,
American History X,https://www.imdb.com/title/tt0120586/?ref_=chttp_t_41,R,8.5,20000000,6719864,156076,11/1/1998,23875714,1 hours 59 minutes,Color,Dolby Digital,1.85 : 1,
Whiplash,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42,R,8.5,3300000,13092000,135388,10/12/2014,49449489,1 hours 46 minutes,Color,Dolby Digital,2.39 : 1,
The Prestige,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_43,PG-13,8.5,40000000,53089891,14801808,10/22/2006,109676311,2 hours 10 minutes,Color,SDDS,2.39 : 1,
Grave of the Fireflies,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_44,Not Rated,8.5,3700000,516962,158421,08/12/2018,519421,1 hours 29 minutes,Color,Dolby Strereo,1.85 : 1,
Harakiri,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_45,Not Rated,8.6,,,,,15222,2 hours 13 minutes,Black and White,Mono,2.35 : 1,
The Usual Suspects,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46,R,8.5,6000000,23341568,645363,8/20/1995,23341568,1 hours 46 minutes,,Dolby SR,2.39 : 1,
Casablanca,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_47,PG,8.5,950000,4219709,181494,4/12/1992,4663702,1 hours 42 minutes,Black and White,,1.37 : 1,
The Intouchables,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48,R,8.5,9500000,10198820,103507,5/27/2012,426590315,1 hours 52 minutes,Color,Dolby Digital,1.85 : 1,
Cinema Paradiso,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_49,PG,8.5,5000000,12397210,16552,2/4/1990,13020497,2 hours 54 minutes,Color,Mono,1.66 : 1,
Modern Times,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50,G,8.5,1500000,163577,35809,12/28/2003,463618,1 hours 27 minutes,Black and White,Silent,1.37 : 1,
Rear Window,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_51,PG,8.5,1000000,36764313,,,37042335,1 hours 52 minutes,Color,,1.37 : 1,
Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_52,PG-13,8.5,5000000,5321508,,,5435312,2 hours 46 minutes,,Mono,2.35 : 1,
Alien,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_53,R,8.5,11000000,84206106,3527881,5/28/1979,108591169,1 hours 57 minutes,Color,,2.39 : 1,
City Lights,https://www.imdb.com/title/tt0021749/?ref_=chttp_t_54,G,8.5,1500000,19181,9102,7/8/2007,50419,1 hours 27 minutes,Black and White,Silent,,
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_55,R,8.5,100000000,162805434,30122888,12/30/2012,426076293,2 hours 45 minutes,Color,SDDS,2.39 : 1,
Apocalypse Now,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_56,R,8.4,31500000,96042913,118558,8/19/1979,104920499,2 hours 27 minutes,Color,,2.39 : 1,
Memento,https://www.imdb.com/title/tt0209144/?ref_=chttp_t_57,R,8.4,9000000,25544867,235488,3/18/2001,40047236,1 hours 53 minutes,Color,Dolby Digital,2.39 : 1,
WALLÂ·E,https://www.imdb.com/title/tt0910970/?ref_=chttp_t_58,G,8.4,180000000,223808164,63087526,6/29/2008,527402840,1 hours 38 minutes,Color,DTS,2.39 : 1,
12th Fail,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_59,,8.9,,,,,138288,2 hours 27 minutes,Color,Dolby Atmos,2.39 : 1,
